"filename", "language", "Markdown", "JSON", "Dart", "C++", "CMake", "YAML", "HTML", "Swift", "Firebase Rules", "XML", "Batch", "Properties", "comment", "blank", "total"
"e:\web_project2\ceyiz_diz\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"e:\web_project2\ceyiz_diz\linux\runner\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\web_project2\ceyiz_diz\linux\runner\my_application.cc", "C++", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 145
"e:\web_project2\ceyiz_diz\linux\runner\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\web_project2\ceyiz_diz\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 4, 33
"e:\web_project2\ceyiz_diz\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"e:\web_project2\ceyiz_diz\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"e:\web_project2\ceyiz_diz\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"e:\web_project2\ceyiz_diz\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"e:\web_project2\ceyiz_diz\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"e:\web_project2\ceyiz_diz\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 6, 5, 90
"e:\web_project2\ceyiz_diz\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 11, 62
"e:\web_project2\ceyiz_diz\storage.cors.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\ceyiz_diz\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 23
"e:\web_project2\ceyiz_diz\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 16, 5, 41
"e:\web_project2\ceyiz_diz\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"e:\web_project2\ceyiz_diz\web\manifest.webmanifest", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"e:\web_project2\ceyiz_diz\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"e:\web_project2\ceyiz_diz\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\web_project2\ceyiz_diz\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"e:\web_project2\ceyiz_diz\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"e:\web_project2\ceyiz_diz\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\web_project2\ceyiz_diz\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\web_project2\ceyiz_diz\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\web_project2\ceyiz_diz\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
